Cpu,   Memory(MB),   NumFiles,   IOSize(MB),   NumThreads,   ThreadMemory(MB),ThputIOps,ThputMbps,RespTime
100 ,     110 ,     1000 ,     5 ,     90 ,     18,  86204.541,  424.1,   0.271
100 ,     110 ,     1000 ,     5 ,     90 ,     20,  85127.641,  418.8,   0.279
100 ,     110 ,     1000 ,     6 ,     100 ,     12,  98309.353,  483.6,   0.285
100 ,     110 ,     1000 ,     6 ,     100 ,     14,  95599.946,  470.2,   0.287
100 ,     110 ,     1000 ,     6 ,     100 ,     16,  85359.181,  419.9,   0.308
100 ,     110 ,     1000 ,     6 ,     100 ,     18,  84583.992,  416.1,   0.322
100 ,     110 ,     1000 ,     6 ,     100 ,     20,  84143.606,  413.9,   0.325
100 ,     110 ,     1000 ,     6 ,     110 ,     12,  93523.529,  460.0,   0.335
100 ,     110 ,     1000 ,     6 ,     110 ,     14,  91300.811,  449.2,   0.340
100 ,     110 ,     1000 ,     6 ,     110 ,     16,  91169.343,  448.5,   0.321
100 ,     110 ,     1000 ,     6 ,     110 ,     18,  89860.178,  442.1,   0.321
100 ,     110 ,     1000 ,     6 ,     110 ,     20,  89860.178,  442.1,   0.321
100 ,     110 ,     1000 ,     6 ,     120 ,     12,  90268.238,  444.0,   0.359
100 ,     110 ,     1000 ,     6 ,     120 ,     14,  91559.523,  450.3,   0.352
100 ,     110 ,     1000 ,     6 ,     120 ,     16,  88600.841,  435.8,   0.367
100 ,     110 ,     1000 ,     6 ,     120 ,     18,  88600.841,  435.8,   0.367
100 ,     110 ,     1000 ,     6 ,     120 ,     20,  88600.841,  435.8,   0.367
100 ,     110 ,     1000 ,     6 ,     90 ,     12,  93625.998,  460.6,   0.260
100 ,     110 ,     1000 ,     6 ,     90 ,     14,  89512.434,  440.3,   0.283
100 ,     110 ,     1000 ,     6 ,     90 ,     16,  94553.820,  465.1,   0.274
100 ,     110 ,     1000 ,     6 ,     90 ,     18,  88160.579,  433.7,   0.267
100 ,     110 ,     1000 ,     6 ,     90 ,     20,  83958.939,  413.0,   0.298
100 ,     110 ,     1000 ,     7 ,     100 ,     12,  90964.964,  447.5,   0.292
100 ,     110 ,     1000 ,     7 ,     100 ,     14,  90633.168,  445.8,   0.287
100 ,     110 ,     1000 ,     7 ,     100 ,     16,  87901.494,  432.3,   0.296
100 ,     110 ,     1000 ,     7 ,     100 ,     18,  91932.256,  452.3,   0.302
100 ,     110 ,     1000 ,     7 ,     100 ,     20,  83281.652,  409.7,   0.298
100 ,     110 ,     1000 ,     7 ,     110 ,     12,  94446.278,  464.6,   0.335
100 ,     110 ,     1000 ,     7 ,     110 ,     14,  95729.262,  470.9,   0.334
100 ,     110 ,     1000 ,     7 ,     110 ,     16,  87925.797,  432.5,   0.368
100 ,     110 ,     1000 ,     7 ,     110 ,     18,  83283.539,  409.6,   0.362
100 ,     110 ,     1000 ,     7 ,     110 ,     20,  83283.539,  409.6,   0.362
100 ,     110 ,     1000 ,     7 ,     120 ,     12,  95061.772,  467.6,   0.346
100 ,     110 ,     1000 ,     7 ,     120 ,     14,  89629.956,  440.8,   0.364
100 ,     110 ,     1000 ,     7 ,     120 ,     16,  88976.455,  437.6,   0.394
100 ,     110 ,     1000 ,     7 ,     120 ,     18,  88976.455,  437.6,   0.394
100 ,     110 ,     1000 ,     7 ,     120 ,     20,  88976.455,  437.6,   0.394
100 ,     110 ,     1000 ,     7 ,     90 ,     12,  95217.903,  468.5,   0.261
100 ,     110 ,     1000 ,     7 ,     90 ,     14,  95813.593,  471.4,   0.252
100 ,     110 ,     1000 ,     7 ,     90 ,     16,  95219.890,  468.4,   0.262
100 ,     110 ,     1000 ,     7 ,     90 ,     18,  92665.839,  455.9,   0.280
100 ,     110 ,     1000 ,     7 ,     90 ,     20,  87335.852,  429.6,   0.287
100 ,     110 ,     1000 ,     8 ,     100 ,     12,  93479.606,  459.8,   0.298
100 ,     110 ,     1000 ,     8 ,     100 ,     14,  89401.471,  439.7,   0.297
100 ,     110 ,     1000 ,     8 ,     100 ,     16,  88981.237,  437.7,   0.289
